Time,TP PRELAZ 056_A+_001,TP PRELAZ 056_A-_101,TP CELJSKA CESTA 2694_A+_201,TP CELJSKA CESTA 2694_A-_301,TP BENCINSKI SERVIS 3 2781_A+_401,TP BENCINSKI SERVIS 3 2781_A-_501
,kW,kW,kW,kW,kW,kW
04/01/2023 05:30,0,0,43.04,0,8.04,0
04/01/2023 05:45,0,0,47.12,0,7.776,0
04/01/2023 06:00,0,0,47.68,0,12.768,0
04/01/2023 06:15,0,0,52.24,0,14.856,0
04/01/2023 06:30,0,0,49.04,0,14.22,0
04/01/2023 06:45,0,0,53.04,0,13.332,0
04/01/2023 07:00,0,0,52.08,0,15.96,0
04/01/2023 07:15,0,0,60,0,14.808,0
04/01/2023 07:30,0,0,57.92,0,14.028,0
04/01/2023 07:45,0,0,59.28,0,15.6,0
04/01/2023 08:00,0,0,65.12,0,13.236,0
04/01/2023 08:15,0,0,67.44,0,13.656,0
04/01/2023 08:30,0,0,70.72,0,12.612,0
04/01/2023 08:45,0,0,70.64,0,12.24,0
04/01/2023 09:00,0,0,64.4,0,12.72,0
04/01/2023 09:15,0,0,68.24,0,12.168,0
04/01/2023 09:30,0,0,76.48,0,14.148,0
04/01/2023 09:45,0,0,69.6,0,13.848,0
04/01/2023 10:00,0,0,62.08,0,11.568,0
04/01/2023 10:15,0,0,66.64,0,11.352,0
04/01/2023 10:30,0,0,71.76,0,11.016,0
04/01/2023 10:45,0,0,75.44,0,11.856,0
04/01/2023 11:00,0,0,67.84,0,15.768,0
04/01/2023 11:15,0,0,64.56,0,18.084,0
04/01/2023 11:30,0,0,63.04,0,13.524,0
04/01/2023 11:45,0,0,60.72,0,18.876,0
04/01/2023 12:00,0,0,57.52,0,13.344,0
04/01/2023 12:15,0,0,75.2,0,13.248,0
04/01/2023 12:30,0,0,72.72,0,11.556,0
04/01/2023 12:45,0,0,80.32,0,11.844,0
04/01/2023 13:00,0,0,71.68,0,11.508,0
04/01/2023 13:15,0,0,81.52,0,13.656,0
04/01/2023 13:30,0,0,76.88,0,13.02,0
04/01/2023 13:45,0,0,68.24,0,11.88,0
04/01/2023 14:00,0,0,55.44,0,12.432,0
04/01/2023 14:15,0,0,65.36,0,12.924,0
04/01/2023 14:30,0,0,61.36,0,13.152,0
04/01/2023 14:45,0,0,64.4,0,13.836,0
04/01/2023 15:00,0,0,59.36,0,16.284,0
04/01/2023 15:15,0,0,62.48,0,11.952,0
04/01/2023 15:30,0,0,79.68,0,16.452,0
04/01/2023 15:45,0,0,75.92,0,18.168,0
04/01/2023 16:00,0,0,70.16,0,17.784,0
04/01/2023 16:15,0,0,71.52,0,19.164,0
04/01/2023 16:30,0,0,80.64,0,18.168,0
04/01/2023 16:45,0,0,78.16,0,21.528,0
04/01/2023 17:00,0,0,73.44,0,20.976,0
04/01/2023 17:15,0,0,73.68,0,20.64,0
04/01/2023 17:30,0,0,75.44,0,17.364,0
04/01/2023 17:45,0,0,78.72,0,16.98,0
04/01/2023 18:00,0,0,75.44,0,17.436,0
04/01/2023 18:15,0,0,71.6,0,16.98,0
04/01/2023 18:30,0,0,68.4,0,17.604,0
04/01/2023 18:45,0,0,69.28,0,16.524,0
04/01/2023 19:00,0,0,75.36,0,17.112,0
04/01/2023 19:15,0,0,75.92,0,16.716,0
04/01/2023 19:30,0,0,74.08,0,16.02,0
04/01/2023 19:45,0,0,71.28,0,14.388,0
04/01/2023 20:00,0,0,68.8,0,12.612,0
04/01/2023 20:15,0,0,70.64,0,13.14,0
04/01/2023 20:30,0,0,70.16,0,11.724,0
04/01/2023 20:45,0,0,73.52,0,13.8,0
04/01/2023 21:00,0,0,69.04,0,15.048,0
04/01/2023 21:15,0,0,72.96,0,10.224,0
04/01/2023 21:30,0,0,66.32,0,9.924,0
04/01/2023 21:45,0,0,64.16,0,10.584,0
04/01/2023 22:00,0,0,67.92,0,9.66,0
04/01/2023 22:15,0,0,64.32,0,9.084,0
04/01/2023 22:30,0,0,63.68,0,10.596,0
04/01/2023 22:45,0,0,57.92,0,11.7,0
04/01/2023 23:00,0,0,57.12,0,10.224,0
04/01/2023 23:15,0,0,56.64,0,10.908,0
04/01/2023 23:30,0,0,55.68,0,10.896,0
04/01/2023 23:45,0,0,52.48,0,9.732,0
05/01/2023 00:00,0,0,52.88,0,11.184,0
05/01/2023 00:15,0,0,50,0,8.136,0
05/01/2023 00:30,0,0,48.96,0,9.156,0
05/01/2023 00:45,0,0,47.52,0,9.084,0
05/01/2023 01:00,0,0,46.72,0,7.572,0
05/01/2023 01:15,0,0,46.24,0,8.052,0
05/01/2023 01:30,0,0,45.68,0,7.14,0
05/01/2023 01:45,0,0,47.2,0,7.884,0
05/01/2023 02:00,0,0,45.12,0,8.688,0
05/01/2023 02:15,0,0,47.12,0,9.6,0
05/01/2023 02:30,0,0,47.44,0,10.008,0
05/01/2023 02:45,0,0,43.6,0,9.792,0
05/01/2023 03:00,0,0,42.56,0,9.504,0
05/01/2023 03:15,0,0,45.04,0,9.72,0
05/01/2023 03:30,0,0,44.32,0,8.436,0
05/01/2023 03:45,0,0,45.2,0,7.92,0
05/01/2023 04:00,0,0,45.28,0,8.076,0
05/01/2023 04:15,0,0,47.76,0,8.436,0
05/01/2023 04:30,0,0,46.4,0,8.892,0
05/01/2023 04:45,0,0,49.36,0,8.94,0
05/01/2023 05:00,0,0,51.28,0,10.212,0
05/01/2023 05:15,0,0,52.4,0,10.092,0
05/01/2023 05:30,0,0,49.68,0,10.104,0
05/01/2023 05:45,0,0,50.96,0,11.736,0
05/01/2023 06:00,0,0,51.52,0,15.252,0
