placement,scenario,SerialNo,Timestamp,roll,pitch,yaw,XCalibAccel,YCalibAccel,ZCalibAccel,XCalibGyro,YCalibGyro,ZCalibGyro,XCalibMag,YCalibMag,ZCalibMag,XLinAccel,YLinAccel,ZLinAccel,quat0,quat1,quat2,quat3,quat_check,magnitude,timestamp_2,time,label
a,s01,35331,353310,169.62402750867543,11.496557441236657,96.99091012070892,0.189331,0.984253,-0.09021,-0.939369,0.597,2.2249220000000003,-29.517883,-32.10675,4.695755,-0.009964,0.007904000000000001,-0.006561,0.663427,0.736084,-0.001178,0.134323,1.0,1.0063488657866118,1430,1548162598652,001_Stand
a,s01,35332,353320,169.61487561031657,11.512255824570389,96.98467447535421,0.19519,0.987182,-0.084839,-0.969887,1.085281,1.706123,-29.517883,-32.10675,4.695755,-0.004379,0.010864,-0.001389,0.663469,0.7360180000000001,-0.001225,0.134475,1.0,1.0098638983273935,1440,1548162598662,001_Stand
a,s01,35333,353330,169.6069107282707,11.527612824032735,96.97608312037481,0.189819,0.988647,-0.077515,-1.06144,0.932693,1.7976759999999998,-29.817871000000004,-33.756744,4.545761,-0.01001,0.012375,0.005707,0.6635270000000001,0.7359399999999999,-0.00128,0.13461800000000002,1.0,1.009684464867614,1450,1548162598672,001_Stand
a,s01,35334,353340,169.6055293674953,11.5426783753096,96.96590236067294,0.186401,0.977905,-0.079468,-1.30558,0.291824,1.858711,-30.417877,-32.85675,4.395767,-0.013687,0.001663,0.003525,0.6635949999999999,0.7358600000000001,-0.001376,0.134721,1.0,0.9986784692031764,1460,1548162598681,001_Stand
a,s01,35335,353350,169.6060991306523,11.560481671981137,96.95993745530444,0.200561,0.97937,-0.085815,-1.06144,0.108719,1.858711,-30.417877,-32.85675,4.395767,0.000168,0.003174,-0.002991,0.663636,0.735803,-0.0014960000000000002,0.13483,1.0,1.0033715791500175,1470,1548162598691,001_Stand
a,s01,35336,353360,169.60109352405053,11.58064873444923,96.94553609704397,0.207397,0.99353,-0.07312,-1.671791,0.627518,1.980782,-29.067871000000004,-31.506744,7.395767,0.006653,0.01738,0.009369,0.6637310000000001,0.735688,-0.0016059999999999998,0.134986,1.0,1.017576488972205,1480,1548162598700,001_Stand
a,s01,35337,353370,169.58915932005002,11.600140763579105,96.93946465866719,0.212768,0.986206,-0.095581,-1.30558,1.420975,1.706123,-29.96788,-32.10675,6.195755,0.011703,0.010101,-0.013306,0.663773,0.735615,-0.001659,0.135178,1.0,1.0134141423036291,1490,1548162598710,001_Stand
a,s01,35338,353380,169.56884440453643,11.616084521067037,96.92432939490476,0.186401,0.987182,-0.085327,-1.946449,2.244949,1.858711,-29.367874,-30.756744,6.645767,-0.014938,0.011093,-0.003433,0.6638729999999999,0.735485,-0.001649,0.13539600000000002,1.0,1.0082431903335622,1500,1548162598720,001_Stand
a,s01,35339,353390,169.5592946631887,11.628468304820617,96.89907102834579,0.178589,0.973999,-0.08728,-3.014565,1.146317,1.706123,-29.367874,-30.756744,6.645767,-0.022964,-0.002075,-0.005905,0.664037,0.735312,-0.001696,0.13552899999999998,1.0,0.9940753901601224,1510,1548162598729,001_Stand
a,s01,35340,353400,169.54918293204787,11.643951613708566,96.88440748048326,0.187866,0.989136,-0.098999,-2.221107,1.2683870000000002,1.889229,-28.767883,-32.406738,6.495758,-0.013962,0.013077000000000002,-0.01796,0.664134,0.735196,-0.0017460000000000002,0.135685,1.0,1.0116740890489389,1520,1548162598739,001_Stand
a,s01,35341,353410,169.5438901429147,11.653904315538671,96.86214971337917,0.193726,0.986694,-0.083374,-2.556801,0.658035,1.217842,-29.96788,-32.10675,4.395767,-0.00827,0.010635,-0.002762,0.6642779999999999,0.7350479999999999,-0.001801,0.135778,1.0,1.0089826740772112,1530,1548162598748,001_Stand
a,s01,35342,353420,169.53856631177862,11.671434054884628,96.84278963818296,0.188354,0.979858,-0.069702,-2.160072,0.658035,2.102852,-29.96788,-32.10675,4.395767,-0.013931,0.00383,0.010483,0.664405,0.734907,-0.001899,0.135919,1.0,1.0002286230077602,1540,1548162598758,001_Stand
a,s01,35343,353430,169.52467707935554,11.685374635790426,96.8259231788745,0.203979,0.992553,-0.076538,-1.915932,1.512527,1.37043,-29.21788,-32.10675,4.995758,0.00145,0.016541,0.003265,0.664515,0.734776,-0.001919,0.136087,1.0,1.0161825405378702,1550,1548162598768,001_Stand
a,s01,35344,353440,169.50972079882956,11.701172018715974,96.81310609456273,0.208374,0.983764,-0.069702,-1.42765,1.60408,1.431465,-28.167877,-31.506744,6.345764,0.005569,0.007781999999999998,0.009781,0.6646,0.734665,-0.001939,0.136273,1.0,1.0080028275634945,1560,1548162598777,001_Stand
a,s01,35345,353450,169.49591712121074,11.718165973465808,96.81083909304712,0.194214,0.978882,-0.080933,-0.603676,1.5735629999999998,1.858711,-28.167877,-31.506744,6.345764,-0.008881,0.002945,-0.001602,0.664617,0.734615,-0.001961,0.13646,1.0,1.0012388317524443,1570,1548162598787,001_Stand
a,s01,35346,353460,169.48135656482876,11.733686258146617,96.80805567254897,0.199585,0.964721,-0.063843,-0.267982,1.543045,1.523018,-30.567871000000004,-32.256744,6.345764,-0.003769,-0.011169,0.015335,0.664636,0.734563,-0.00197,0.136642,1.0,0.9872166473044304,1580,1548162598796,001_Stand
a,s01,35347,353470,169.4682792199117,11.749268768597803,96.80809657019641,0.211304,0.984253,-0.075073,-0.206947,1.420975,1.37043,-29.517883,-32.406738,6.495758,0.007675,0.008408,0.004013,0.664639,0.734529,-0.001985,0.13681600000000002,1.0,1.0094747662789794,1590,1548162598806,001_Stand
a,s01,35348,353480,169.45826321117997,11.764345344478084,96.81401552272118,0.21814,0.966675,-0.059448,0.73719,1.024246,1.126289,-29.517883,-32.406738,6.495758,0.014266999999999997,-0.009109,0.019653,0.664602,0.734533,-0.002009,0.136969,1.0,0.992763657639118,1600,1548162598816,001_Stand
a,s01,35349,353490,169.44683515318064,11.766835852469491,96.81873933989412,0.211304,0.981323,-0.066772,0.73719,1.115799,0.027657,-29.817871000000004,-32.256744,6.645767,0.007384999999999998,0.005554,0.01236,0.664572,0.734545,-0.001948,0.137051,1.0,1.0060331558795663,1610,1548162598825,001_Stand
a,s01,35350,353500,169.42960276981046,11.777788332677503,96.8295303737015,0.21228,0.989624,-0.076538,1.011848,1.817703,0.882149,-29.067871000000004,-31.956741,6.045761,0.008163,0.013900999999999998,0.002686,0.664504,0.734575,-0.001896,0.13722,1.0,1.0150253815644217,1620,1548162598835,001_Stand
a,s01,35351,353510,169.4251670608258,11.780326694222653,96.84207753868877,0.200561,0.9823,-0.085327,1.133919,0.505447,0.332832,-29.067871000000004,-31.956741,6.045761,-0.003586,0.006592,-0.00592,0.664425,0.73464,-0.001869,0.137262,1.0,1.0061901915890454,1630,1548162598844,001_Stand
a,s01,35352,353520,169.42038093509248,11.792267211462475,96.85046592483019,0.221558,0.990112,-0.082886,0.5846020000000001,0.566483,0.882149,-28.767883,-31.35675,4.695755,0.017197,0.01445,-0.003403,0.6643720000000001,0.734668,-0.001903,0.137365,1.0,1.0179782949080989,1640,1548162598854,001_Stand
a,s01,35353,353530,169.41107064648952,11.796051569396349,96.86438017606395,0.199585,0.996948,-0.088745,1.225471,1.024246,0.515938,-30.567871000000004,-31.956741,6.345764,-0.004837,0.021317,-0.009064,0.664283,0.734734,-0.001852,0.137443,1.0,1.0205954937946766,1650,1548162598864,001_Stand
a,s01,35354,353540,169.39705739527315,11.797121147234634,96.87013089587104,0.194702,0.9823,-0.084351,0.523567,1.48201,0.24128,-29.367874,-31.506744,7.095764,-0.009735,0.006683,-0.004623,0.664246,0.734751,-0.001765,0.137531,1.0,1.0049563423378152,1660,1548162598873,001_Stand
a,s01,35355,353550,169.38780265534794,11.799861449800087,96.87812963347598,0.194702,0.989624,-0.095581,0.462532,1.054764,0.48542,-29.367874,-31.506744,7.095764,-0.009781,0.014023,-0.015747,0.664195,0.734784,-0.001715,0.137602,1.0,1.0131141385554738,1670,1548162598883,001_Stand
a,s01,35356,353560,169.3778395575102,11.803862656666805,96.88396749715704,0.199585,0.986694,-0.074585,0.6761550000000001,1.024246,0.48542,-29.817871000000004,-32.256744,6.045761,-0.004974,0.011108,0.005295,0.664158,0.7348020000000001,-0.0016710000000000002,0.137685,1.0,1.009436547825568,1680,1548162598892,001_Stand
a,s01,35357,353570,169.37106269082977,11.809690524415865,96.8906681869666,0.192749,0.988647,-0.085815,0.49305,0.7801060000000001,0.882149,-30.71788,-32.10675,6.945755,-0.011902,0.013092,-0.0058590000000000005,0.664115,0.734826,-0.001657,0.137761,1.0,1.0109101254983055,1690,1548162598902,001_Stand
a,s01,35358,353580,169.36067990721287,11.817090368151986,96.90250352454599,0.185425,0.979858,-0.089233,0.8897780000000001,1.207352,1.126289,-30.71788,-32.10675,6.945755,-0.019363,0.004349,-0.00914,0.664041,0.734874,-0.0016239999999999998,0.13786800000000002,1.0,1.0012325699246905,1700,1548162598912,001_Stand
